RollNo,Gender,Age,Location,No. of members in your family,Parent Status (living together-'T' or Apart-'A'),Medu - Mother's Education,Fedu - Father's education,Mjob - Mother's job,Fjob - Father's job,Reason to choose this institution,Travel time ( home to college ),Studytime(weekly),Failures (No. of past backlogs),Famsup(Family educational support),paid(Extra paid classes within the course subject),Activities(Extra-curricular activites),Higher education(wants to take higher education),Internet(At home),Famrel (Quality of family relationship),Freetime(After school),going out with friends,health,10th Percentage,12th or diploma percentage,EAMCET or ECET Rank,Total internal marks,sgpa(prev),sgpa
319126510001,FEMALE,21,Urban,5,T,higher education,higher education,Homemaker,civil services: administrative or police,Other,30min - 1hr,1- <2 hr,0,Yes,No,Yes,No,Yes,excellent,high,3 - medium,5 - very good,93.1,96.3,18238,90.23,9.4,8.93
319126510003,FEMALE,22,Urban,4,T,higher education,higher education,"nominal: 'teacher', 'health' care related","nominal: 'teacher', 'health' care related",Course preference,<1hr,2 to 5 hr,0,Yes,Yes,Yes,No,No,excellent,high,2 - low,4 - good,86,95.6,7586,89.77,9.07,8.8
319126510004,MALE,21,Urban,4,T,5th to 9th grade,secondary education,Homemaker,"nominal: 'teacher', 'health' care related",Institution's reputation,<1hr,>10 hr,0,Yes,No,No,No,Yes,excellent,very low,1 - very low,5 - very good,90,93,8791,71.14,8.07,6.73
319126510005,MALE,21,Urban,4,T,secondary education,higher education,Homemaker,"nominal: 'teacher', 'health' care related",Institution's reputation,<1hr,2 to 5 hr,0,Yes,No,Yes,No,Yes,excellent,high,4 - high,4 - good,92.15,95,7844,81.14,9.13,8.53
319126510006,FEMALE,20,Urban,4,T,secondary education,secondary education,Homemaker,civil services: administrative or police,Course preference,30min - 1hr,2 to 5 hr,2,Yes,No,Yes,Yes,Yes,excellent,low,2 - low,4 - good,90.25,76.5,103750,77.05,8,7.13
319126510007,FEMALE,21,Urban,4,A,higher education,higher education,Homemaker,civil services: administrative or police,Course preference,15 - 30 min,2 to 5 hr,0,Yes,No,Yes,Yes,Yes,excellent,low,3 - medium,4 - good,93.1,84.5,66798,64.77,7.87,6.4
319126510008,FEMALE,20,Urban,4,T,higher education,higher education,Homemaker,"nominal: 'teacher', 'health' care related",Institution's reputation,<1hr,2 to 5 hr,0,Yes,No,Yes,No,Yes,excellent,high,2 - low,4 - good,93.1,87.8,72223,81.82,9.2,8.33
319126510009,FEMALE,20,Urban,3,T,5th to 9th grade,higher education,Homemaker,Homemaker,Course preference,<15 min,2 to 5 hr,0,Yes,No,Yes,No,Yes,excellent,high,4 - high,4 - good,90.25,90.7,54000,84.55,8.93,7.67
319126510010,MALE,20,Urban,3,T,secondary education,5th to 9th grade,Homemaker,Homemaker,Institution's reputation,<1hr,>10 hr,0,No,No,Yes,Yes,No,excellent,high,4 - high,5 - very good,87.4,90,9622,83.41,8.93,7.8
319126510011,FEMALE,20,Urban,4,T,higher education,higher education,Homemaker,"nominal: 'teacher', 'health' care related",Institution's reputation,30min - 1hr,5 to 10 hr,0,Yes,No,No,No,Yes,excellent,low,3 - medium,4 - good,83.6,95.4,46000,87.27,9.33,8.53
319126510012,FEMALE,21,Urban,4,T,higher education,higher education,civil services: administrative or police,civil services: administrative or police,Course preference,<1hr,5 to 10 hr,0,Yes,No,Yes,No,Yes,excellent,high,4 - high,4 - good,68.4,63.86,11077,83.86,8.6,8.13
319126510013,MALE,21,Urban,4,T,secondary education,higher education,Homemaker,civil services: administrative or police,Course preference,30min - 1hr,2 to 5 hr,0,Yes,No,No,No,Yes,excellent,low,3 - medium,4 - good,88,75,NA,72.73,7.8,6.93
319126510014,MALE,20,Urban,3,T,5th to 9th grade,5th to 9th grade,Homemaker,Homemaker,Course preference,30min - 1hr,2 to 5 hr,0,No,No,Yes,No,Yes,Very good,high,3 - medium,4 - good,95,70.3,116974,63.18,7,5.73
319126510015,FEMALE,20,Rural,4,T,5th to 9th grade,5th to 9th grade,Homemaker,"nominal: 'teacher', 'health' care related",Institution's reputation,30min - 1hr,>10 hr,0,Yes,No,Yes,No,Yes,Very good,low,2 - low,5 - very good,95,95,14444,77.05,8.73,7.67
319126510016,FEMALE,20,Urban,4,T,secondary education,higher education,Homemaker,"nominal: 'teacher', 'health' care related",Institution's reputation,30min - 1hr,2 to 5 hr,0,Yes,No,Yes,Yes,Yes,excellent,high,2 - low,4 - good,93.1,96,7039,85,9.4,8.47
319126510017,FEMALE,21,Urban,4,T,higher education,secondary education,"nominal: 'teacher', 'health' care related","nominal: 'teacher', 'health' care related",Other,<1hr,1- <2 hr,0,Yes,No,Yes,Yes,Yes,excellent,high,3 - medium,4 - good,90.25,96.6,8913,90,9.67,9.2
319126510018,MALE,21,Urban,4,T,higher education,higher education,Homemaker,"nominal: 'teacher', 'health' care related",Institution's reputation,30min - 1hr,>10 hr,0,Yes,No,Yes,Yes,Yes,excellent,very high,3 - medium,4 - good,98,87.5,NA,71.14,8.73,6.87
